Has CS degree,Has learned sort alg,Used sort alg,Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
NO,NO,n/a,"i would start with two, find the lighter of the two. then i would go down the line and compare them with the lightest one and keep descending down until i found where it was lighter than the next one. for example if a and d compared and a was lighter than d, i would do a, d. then i would compare c with a and if it were lighter, i'd put it in front and move on to b and then compare b with c, if c was heavier i'd then compare it with a, etc.","i would do the same method that i described in the last one. i would start with the first two. e, i. put the lighter one in front. if it were i, e. i would compare h with i and if h was heavier, i'd then compare it with e to see if it were lighter or heavier. if it were heavier, i'd put it behind e and then move to the next letter and keep doing the same method. ",i didn't use anything that i learned in that method to come up with the method that i used with the purple diamond. i found the blue star task more confusing than the purple diamond task,"again, i did not use the strategies learned from the blue star method in the purple diamond tasks. i found my method that i used easier."
NO,NO,,"i compared a with the rest, then b with the rest except a, and so on. i noted which measured more than others and arranged them in increasing order. that's how i reached to a conclusion.","i used the same approach. i couldn't figure out any other way. unfortunately, more often than not, i ran out of time.","to be honest, i couldn't figure out what role did the blue star played. i used the same tactic as before to arrange the fruits.","as mentioned before, i couldn't figure out what role did the blue star played. but i think that strategy 1 is probably the correct answer in this case."
NO,NO,no,"i weight everything against each other like ad,ac, ab, af, ae. then dc, db,df, de, etc until i have everything weighed in order. ","i do the same exact thing. but if i find an item is certainly heaviest or lightest, i go ahead and put them into place",i really really struggled with this and is where i hit mental fatigue. still the same method but there were too many working parts after all the other puzzles,"again, i used the whole strategy without. the last few i just couldnt really think straight anymore. 

strategy 2 wouldve been closest though"
NO,NO,I have never used any sorting algorithms. ,"i start to the left and compare a and d, then put the heaviest first. i then continue doing that down the line and occasionally compare a later fruit with an earlier one to make sure the placement is right. i then input them at the end backwards, since it's easier for me to go from heaviest to lightest left to right while solving it. ",i start at the left and work my way right. i start by comparing each fruit and placing whichever one is heaviest to the left. i do that all of the way down. i then will check ones that are to the right to compare them to the ones to the left to make sure i have my placement correct. i then input the solution backwards since i go from heaviest to lightest while solving. ,i didn't use it. i found this portion confusing and wasn't sure what i was doing incorrectly. ,i didn't use any strategies from it as i didn't understand it at all. it just confused me on what i was supposed to be doing honestly. 
NO,NO,"No, I don't know any of those things.",i compared two fruits to get a high and low and then compared the others based off of that. i tried to find the middle as soon as possible.,i did the same as before. i compared two to find a high and low and then tried to find the middle.,i had no idea what was going on with this task. i couldn't figure out what i was supposed to do.,i guess strategy two looks most like what i was doing.
NO,NO,none,i started with the first letter and compared its weight to all the other letters to get started. then i eliminated any letters that i could by placing them in the correct spot. then i went with the next letter and compared its weight to each of the remaining letters. i continued this until there were no fruits left.,i used the same approach for the larger pile of fruits that i described on the previous question. i just made sure to keep moving and not take any breaks so that i had time to complete the task.,i did not learn any useful information from the blue star operator that i used in arranging fruits with the purple diamond operator.,i did not use either strategy outlined in the diagrams.
NO,NO,"I am not sure which sorting algorithm I used, I compared the weight of each fruit and was rearranging them on the board till I found out the correct solution. I have no experience in computer sciences or working with algorithms but I tried to do my best. ",i think that a purple diamond meant that there is a sequence of fruits (letters) increasing or decreasing. i tried to find my solution by rearranging fruits and comparing their weight. but it was difficult and i felt under a time pressure. ,"i used the same approach, i used mostly the scale to compare weight and find out the correct solution.","i am not sure if i learned how the purple diamond or the blue star worked. as i said before, i felt like the time was too short to ""digest"" all the information i had. ",strategy 2 probably. 
NO,NO,"I assume that I did without my knowledge. I have no understanding of sorting algorithms, but I suspect I may have intuitively used one without knowing.","i begin by comparing two letters and then sorting them. i then choose another letter and compare it to the previously two known sorted letters. i choose a fourth and compare it to each sorted letter on the end (i.e. the lightest and the heaviest). i continue with each additional apple, starting with the lowest and highest. then i will choose a letter in the middle to essentially cut my choices in half. then i will shoot in the middle of the remaining half and continue comparing until i can sort everything properly.","i essentially use the same procedure as previously described. i would compare e and i and sort them. then i would take h and compare it to both e and i and sort again. then i start comparing each additional apple to the lowest and highest weights. if it lies in between somewhere, i will compare it with the middle fruit in the sorted pile. this tells me if i need to concentrate on the fruits on the left or the fruits on the right for ongoing comparison and sorting.","i honestly did not see the correlation between the two, so i did not use that information when sorting with the purple diamond.",i would say that strategy 2 is closest to my own application.
NO,NO,no,i kept measuring till i had smallest to largest.,i just kept measuring against each other til i had what i thought was the correct order.,i did just used the measurement to make my decision.,i dont think these strategies helped.  they were more confusing then helpful.
NO,NO,not aware of and did not use existing sorting strategies,find the relative weights for a random group of 3 fruits. then compare the next fruit to the middle fruit and decide if to left or right. establish how far to left or right for the fruits that have been sampled. continue in that fashion until all fruits are exhausted,just keep making guesses and trying to remember the relative values. was not fully in tune with the different approaches of the colored shapes,"did not consciously use what i learned, but did become more methodical after getting the bit of coaching",i was closer to strategy 2
NO,NO,no,i started with comparing with a and b.  i put those two in order.  then i go to next aphabetical fruit and compare to fruits from heaviest to lightest known fruit in order until i find a fruit it is heavier than.  i repeat the previous steps with each fruit.,i compare fruits a and b.  i arrange them from heaviest to lightest.  then i take the next aphabetical fruit and compared it starting with the heaviest unit i find a fruit that it is heavier than.  i repeat the previous steps with each fruit.,i compared the lightest fruit in one box with the lightest fruit in the other box.  then i proceed to with next lightest fruit in order to determine which one is the heaviest.  i compare the lightest to the heaviest in each box.,strategy 2 would be the closest to the my application.  i compared the individual weights of box 2 to the weights of box 1 to see where it fit in the wight order of box 1.
NO,NO,I don't know any of them,"i comparedx the weights, trying to find the lowest. as each pair gave me the result i would narrow down by keeping the lowest and moving on. sort of tournament style.",same as for the smaller pile. focus on finding the extremes and work down from there.,i didn't really. i messed up with the blue star because i was thinking like i was for the purple diamond. instead of comparing left and right against each other.,i'd say strategy 1 was what i used but i should've done 2 for more efficient results.
