Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
c2_01T2J9k6qN,compare two fruits and put the heavier one to the right.  I would compare a new fruit to each of the previous ones until i found where it fit. I would keep doing this for each new fruit,I used the same approach. Compare two fruits and move the heavier one to the right. Take a new fruit and compare it to the other fruits until it fit somewhere. After i had them all arranged i would check to make sure they were in the right order by taking the lightest fruit and making sure it was lighter than the one ahead of it. If it all checked out than it was good to go.,I don't really get the question but like the blue star example i was comparing 2 fruits,I think strategy 2 is more similar.
c2_15m80tlek2,"I pick two fruits at random and compare their weights. This gives me their order. Then I pick another fruit at random and compare it to the lightest weight fruit. This gives me its position. I then move on to the 4th fruit and compare its weight to the lightest fruit. If it's lighter, I've found its position (1st). If it's heavier I go down the line comparing weight until I find where it goes and the same for each remaining fruit.",Same strategy. Start with two fruits and compare. Then pick a fruit and compare its weight to the first fruit and go down the line similarly to position each fruit in term. It's tedious but it works.,I didn't really. I followed the policy I described in the same way regardless.,"I'm confused by this question but I used strategy two, a one-by-one comparison."
c2_4507PEjri6,"compare a to b, if a is less than b then compare to c and keep going to the end. If a is greater than the one comparing to then the new fruit is the lowest and keep comparing to the end to find the lowest weight. When you get to the end then compare the next lowest to the rest and","I do the same way as the smaller batch. start with a and then compare to b and keep going until I find one smaller than a, when that happens then the new fruit is the lowest and I keep going down the line comparing to find one lower. when there is a lower one I switch out and keep going down the line until the end. I remember which ones are larger and pick the next lowest weight and start comparing that to ones above it until i find the next lowest and keep the process going until the end","I learned in the blue star to compare each of the fruits to each other finding the lowest weight one and then working up from there. so compare a to b then to c then to d as switching if the next fruit is lower in weight. so if c is lower than a I would do a to b, a to c, then c to d and keep that process up until I find the lowest. it was the same method as the purple diamond group",strategy 2 because I compare each fruit to another
c2_4ZM90Er6Y3,Empty,A,Empty,Empty
c2_56Hx0iAD82,I tried to way by comparing them down the line with A versus all to see if it was higher and lower than anyone. The lowest one remains until one was higher. Then I compared the higher ones and found an order. ,I did the same by comparing pairs next to one another and doing a process of elimination with the lower one going through until it was higher than another. ,I did not use anything that I learned as I just went by comparing them as usual,I used the comparing one from one side to the other until I found the heaviest.
c2_5Vib8123Su,"I compare A to each one individually B through F to figure out where it goes. Once one is heavier I stop comparing A and replace it with the heavier one. If C was heavier than A then my next comparison is C vs D. I keep doing this until I find the heaviest, then I go through and do it again and keep doing that.","I use the same strategy. I compare A to every letter from B to J. But, when I find something heavier than A, I replace it and continue with that one until I find the heaviest. Then I continue the process with the next heaviest fruit and align them in increasing weight from left to right.",I didn't learn much as it was pretty convoluted. I just kept doing the same strategy of finding the heaviest of the whole set and repeating.,"Strategy 2 is much loser to what I did, individually separating them."
c2_6S018OEB4a,"Compare A to D, then A to C and D to C.  Arrange L to R the lightest to heaviest.  Compare B to A, D, C, place it appropriately.  Continue with F and E.","I use the same method as the small pile.  Compare the first and second, arrange light to heavy.  Compare the 3rd with the first and second, place again lightest to heaviest, and continue down the line in this fashion. ","Mmm, not sure I did learn anything from the blue star operator.  I just did the best I could with the comparing of each fruit against the others.",I suppose it would be strategy 1.
c2_7kC049Otw1,"I just go one by one from each letter rearranging the set according to which weighs more. First compare A to all of them, then B, then C, etc.","I do the same thing, didn't really do anything different",The blue thing didn't teach me anything for the purple one I think,I don't think I learned much since from what I understood the blue one unloads one by one or something
c2_96lSE304IO,"Weighing and weighing and moving and moving. Crying, whining, and then guessing some.",Weighing and moving.,I didn't.,I didn't.
c2_FB45Ue97W2,I compared two letters and tried to find the one that weighed the most and continued finding the ones that weighed less in the process.,I tried finding the heaviest and lightest while also finding the ones in the middle at the same time.,I took the letter from the left and compared it to the right int he beginning in order to try to find which one was heaviest.,Strategy 2 is closest to what I used.
